This file contains the cluster number at each minimum cluster size (MCS) computed using the dynamic tree cut algorithm. The rows are sorted according to the ReefID. A value of 0 indicates that the reef was not included in any cluster for a particular MCS value.
Reef ID,MCS=1,MCS=5,MCS=10,MCS=15,MCS=20,MCS=25,MCS=50,MCS=75,MCS=100,MCS=125,MCS=150,MCS=160
442,436,307,112,7,20,14,14,17,13,2,2,1
443,476,322,24,63,72,67,0,0,0,0,0,0
444,476,322,24,63,72,67,0,0,0,0,0,0
445,888,242,30,71,19,30,2,10,0,0,0,0
446,888,242,30,71,19,30,2,10,0,0,0,0
447,677,307,112,7,20,14,14,17,13,2,2,1
448,677,307,112,7,20,14,14,17,13,2,2,1
449,236,282,0,0,0,0,0,0,0,0,0,0
450,476,322,24,63,72,67,0,0,0,0,0,0
451,677,307,112,7,20,14,14,17,13,2,2,1
452,821,123,8,32,45,51,14,17,13,0,0,1
453,821,123,8,32,45,51,14,17,13,0,0,1
454,236,282,0,0,0,0,0,0,0,0,0,0
455,292,323,24,63,72,67,0,0,0,0,0,0
456,876,123,8,32,45,51,14,17,13,0,0,1
457,876,123,8,32,45,51,14,17,13,0,0,1
458,562,123,8,32,45,51,14,17,13,2,2,1
459,562,123,8,32,45,51,14,17,13,2,2,1
460,562,123,8,32,45,51,14,17,13,2,2,1
461,236,282,0,0,0,0,0,0,0,0,0,0
462,292,323,24,63,72,67,0,0,0,0,0,0
463,899,123,8,32,45,51,14,17,13,2,2,1
464,899,123,8,32,45,51,14,17,13,2,2,1
465,849,123,8,32,45,51,14,17,13,2,2,1
466,236,282,0,0,0,0,0,0,0,0,0,0
467,292,323,24,63,72,67,0,0,0,0,0,0
468,114,11,81,106,100,33,12,15,6,4,3,1
469,114,11,81,106,100,33,12,15,6,4,3,1
470,849,123,8,32,45,51,14,17,13,2,2,1
471,236,282,0,0,0,0,0,0,0,0,0,0
472,292,323,24,63,72,67,0,0,0,0,0,0
473,115,11,81,106,100,33,12,15,6,4,3,1
474,114,11,81,106,100,33,12,15,6,4,3,1
475,114,11,81,106,100,33,12,15,6,4,3,1
476,830,323,24,63,72,67,0,0,0,0,0,0
477,115,11,81,106,100,33,12,15,6,4,3,1
478,115,11,81,106,100,33,12,15,6,4,3,1
479,115,11,81,106,100,33,12,15,6,4,3,1
480,114,11,81,106,100,33,12,15,6,4,3,1
481,917,282,0,0,0,0,0,0,0,0,0,0
482,115,11,81,106,100,33,12,15,6,4,3,1
483,115,11,81,106,100,33,12,15,6,4,3,1
484,917,282,0,0,0,0,0,0,0,0,0,0
485,115,11,81,106,100,33,12,15,6,4,3,1
486,148,11,81,106,100,33,12,15,6,4,3,1
487,114,11,81,106,100,33,12,15,6,4,3,1
488,114,11,81,106,100,33,12,15,6,4,3,1
489,148,11,81,106,100,33,12,15,6,4,3,1
490,148,11,81,106,100,33,12,15,6,4,3,1
491,148,11,81,106,100,33,12,15,6,4,3,1
492,148,11,81,106,100,33,12,15,6,4,3,1
493,148,11,81,106,100,33,12,15,6,4,3,1
494,830,323,24,63,72,67,0,0,0,0,0,0
495,689,260,24,63,72,67,0,0,0,0,0,0
496,689,260,24,63,72,67,0,0,0,0,0,0
497,689,260,24,63,72,67,0,0,0,0,0,0
498,683,260,24,63,72,67,0,0,0,0,0,0
499,683,260,24,63,72,67,0,0,0,0,0,0
500,906,260,24,63,72,67,0,0,0,0,0,0
501,683,260,24,63,72,67,0,0,0,0,0,0
502,906,260,24,63,72,67,0,0,0,0,0,0
503,499,192,14,7,20,14,14,17,13,2,2,1
504,499,192,14,7,20,14,14,17,13,2,2,1
505,17,7,65,96,95,14,14,17,13,2,2,1
506,17,7,65,96,95,14,14,17,13,2,2,1
